100 401
0 1 2
1 2 4
2 3 6
3 4 8
4 5 1
5 6 3
6 7 5
7 8 7
8 9 9
9 10 2
10 11 4
11 12 6
12 13 8
13 14 1
14 15 3
15 16 5
16 17 7
17 18 9
18 19 2
19 20 4
20 21 6
21 22 8
22 23 1
23 24 3
24 25 5
25 26 7
26 27 9
27 28 2
28 29 4
29 30 6
30 31 8
31 32 1
32 33 3
33 34 5
34 35 7
35 36 9
36 37 2
37 38 4
38 39 6
39 40 8
40 41 1
41 42 3
42 43 5
43 44 7
44 45 9
45 46 2
46 47 4
47 48 6
48 49 8
49 50 1
50 51 3
51 52 5
52 53 7
53 54 9
54 55 2
55 56 4
56 57 6
57 58 8
58 59 1
59 60 3
60 61 5
61 62 7
62 63 9
63 64 2
64 65 4
65 66 6
66 67 8
67 68 1
68 69 3
69 70 5
70 71 7
71 72 9
72 73 2
73 74 4
74 75 6
75 76 8
76 77 1
77 78 3
78 79 5
79 80 7
80 81 9
81 82 2
82 83 4
83 84 6
84 85 8
85 86 1
86 87 3
87 88 5
88 89 7
89 90 9
90 91 2
91 92 4
92 93 6
93 94 8
94 95 1
95 96 3
96 97 5
97 98 7
98 99 9
99 0 1
0 11 3
11 0 3
1 12 5
12 1 5
2 13 7
13 2 7
3 14 9
14 3 9
4 15 2
15 4 2
5 16 4
16 5 4
6 17 6
17 6 6
7 18 8
18 7 8
8 19 1
19 8 1
9 20 3
20 9 3
10 21 5
21 10 5
11 22 7
22 11 7
12 23 9
23 12 9
13 24 2
24 13 2
14 25 4
25 14 4
15 26 6
26 15 6
16 27 8
27 16 8
17 28 1
28 17 1
18 29 3
29 18 3
19 30 5
30 19 5
20 31 7
31 20 7
21 32 9
32 21 9
22 33 2
33 22 2
23 34 4
34 23 4
24 35 6
35 24 6
25 36 8
36 25 8
26 37 1
37 26 1
27 38 3
38 27 3
28 39 5
39 28 5
29 40 7
40 29 7
30 41 9
41 30 9
31 42 2
42 31 2
32 43 4
43 32 4
33 44 6
44 33 6
34 45 8
45 34 8
35 46 1
46 35 1
36 47 3
47 36 3
37 48 5
48 37 5
38 49 7
49 38 7
39 50 9
50 39 9
40 51 2
51 40 2
41 52 4
52 41 4
42 53 6
53 42 6
43 54 8
54 43 8
44 55 1
55 44 1
45 56 3
56 45 3
46 57 5
57 46 5
47 58 7
58 47 7
48 59 9
59 48 9
49 60 2
60 49 2
50 61 4
61 50 4
51 62 6
62 51 6
52 63 8
63 52 8
53 64 1
64 53 1
54 65 3
65 54 3
55 66 5
66 55 5
56 67 7
67 56 7
57 68 9
68 57 9
58 69 2
69 58 2
59 70 4
70 59 4
60 71 6
71 60 6
61 72 8
72 61 8
62 73 1
73 62 1
63 74 3
74 63 3
64 75 5
75 64 5
65 76 7
76 65 7
66 77 9
77 66 9
67 78 2
78 67 2
68 79 4
79 68 4
69 80 6
80 69 6
70 81 8
81 70 8
71 82 1
82 71 1
72 83 3
83 72 3
73 84 5
84 73 5
74 85 7
85 74 7
75 86 9
86 75 9
76 87 2
87 76 2
77 88 4
88 77 4
78 89 6
89 78 6
79 90 8
90 79 8
80 91 1
91 80 1
81 92 3
92 81 3
82 93 5
93 82 5
83 94 7
94 83 7
84 95 9
95 84 9
85 96 2
96 85 2
86 97 4
97 86 4
87 98 6
98 87 6
88 99 8
99 88 8
89 0 9
0 89 9
90 1 2
1 90 2
91 2 4
2 91 4
92 3 6
3 92 6
93 4 8
4 93 8
94 5 1
5 94 1
95 6 3
6 95 3
96 7 5
7 96 5
97 8 7
8 97 7
98 9 9
9 98 9
99 10 2
10 99 2
0 11 3
11 0 3
1 12 5
12 1 5
2 13 7
13 2 7
3 14 9
14 3 9
4 15 2
15 4 2
5 16 4
16 5 4
6 17 6
17 6 6
7 18 8
18 7 8
8 19 1
19 8 1
9 20 3
20 9 3
10 21 5
21 10 5
11 22 7
22 11 7
12 23 9
23 12 9
13 24 2
24 13 2
14 25 4
25 14 4
15 26 6
26 15 6
16 27 8
27 16 8
17 28 1
28 17 1
18 29 3
29 18 3
19 30 5
30 19 5
20 31 7
31 20 7
21 32 9
32 21 9
22 33 2
33 22 2
23 34 4
34 23 4
24 35 6
35 24 6
25 36 8
36 25 8
26 37 1
37 26 1
27 38 3
38 27 3
28 39 5
39 28 5
29 40 7
40 29 7
30 41 9
41 30 9
31 42 2
42 31 2
32 43 4
43 32 4
33 44 6
44 33 6
34 45 8
45 34 8
35 46 1
46 35 1
36 47 3
47 36 3
37 48 5
48 37 5
38 49 7
49 38 7
39 50 9
50 39 9
40 51 2
51 40 2
41 52 4
52 41 4
42 53 6
53 42 6
43 54 8
54 43 8
44 55 1
55 44 1
45 56 3
56 45 3
46 57 5
57 46 5
47 58 7
58 47 7
48 59 9
59 48 9
49 60 2
60 49 2
0 50 6
0 99
